,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
0,Rodri,MF,34,8,9,17,4.1,3.9,27,8,1,76,376,55,321.97777777777776,16.05
1,Phil Foden,FW,35,19,8,27,10.3,8.4,23,2,0,93,168,269,411.3888888888889,26.5
2,Ederson,GK,33,0,0,0,0.0,0.1,29,5,0,0,4,0,-2.533333333333333,6.05
3,Julián Álvarez,MF,36,11,8,19,13.0,6.4,23,2,0,64,103,180,283.3,26.2
4,Kyle Walker,DF,32,0,4,4,0.4,2.6,33,2,0,74,157,172,214.95555555555555,9.700000000000001
5,Bernardo Silva,MF,33,6,9,15,3.7,7.6,28,8,0,140,177,260,352.8666666666667,17.5
6,Erling Haaland,FW,31,27,5,32,29.2,4.3,23,1,0,35,26,126,305.5444444444445,43.35
7,Rúben Dias,DF,30,0,0,0,1.4,0.3,26,0,0,34,173,16,114.93333333333334,9.55
8,Manuel Akanji,DF,30,2,0,2,1.9,0.5,28,4,1,46,148,36,122.63333333333333,10.15
9,Joško Gvardiol,DF,28,4,1,5,3.1,1.4,21,3,0,63,136,115,184.9111111111111,11.799999999999999
10,Nathan Aké,DF,29,2,2,4,2.5,1.2,28,0,0,24,116,18,101.52222222222223,11.1
11,Jeremy Doku,FW,29,3,8,11,2.5,4.6,21,3,0,218,57,295,330.9222222222222,16.8
12,Mateo Kovačić,MF,30,1,0,1,1.3,1.6,29,4,0,37,100,38,93.03333333333333,12.100000000000001
13,Kevin De Bruyne,MF,18,4,10,14,2.4,11.5,32,2,0,47,111,133,209.8,18.15
14,John Stones,DF,16,1,0,1,1.0,0.2,29,2,0,16,57,24,53.87777777777778,9.1
15,Jack Grealish,FW,20,3,1,4,2.1,2.5,27,6,0,87,50,146,160.42222222222222,15.35
16,Rico Lewis,DF,16,2,0,2,0.6,1.1,18,1,0,21,33,46,61.477777777777774,9.15
17,Matheus Nunes,MF,17,0,2,2,0.8,1.1,24,0,0,28,34,58,68.88888888888889,11.350000000000001
18,Stefan Ortega,GK,9,0,0,0,0.0,0.0,30,0,0,0,0,0,0.1,6.0
19,Oscar Bobb,FW,14,1,1,2,1.4,1.2,20,0,0,13,25,38,50.15555555555555,14.0
20,Kalvin Phillips,MF,4,0,0,0,0.1,0.0,27,0,0,7,7,3,8.744444444444444,10.1
21,Sergio Gómez,FW,6,0,1,1,0.2,0.2,22,0,0,4,2,4,8.666666666666668,12.299999999999999
22,Aymeric Laporte,DF,1,0,0,0,0.0,0.0,29,0,0,0,0,0,0.011111111111111112,8.0
23,Cole Palmer,MF,1,0,0,0,0.0,0.0,21,0,0,0,0,0,0.011111111111111112,10.0
24,James Mcatee,MF,1,0,0,0,0.0,0.0,20,0,0,0,0,0,0.011111111111111112,10.0
25,Virgil van Dijk,DF,36,2,2,4,2.8,1.6,32,3,1,32,200,7,136.9,11.600000000000001
26,Luis Díaz,FW,37,8,5,13,11.9,5.7,26,3,0,137,113,302,357.9111111111111,26.75
27,Alexis Mac Allister,MF,33,5,5,10,3.7,3.6,24,7,1,44,209,48,191.86666666666667,15.5
28,Mohamed Salah,FW,32,18,10,28,21.2,11.8,31,2,0,98,147,341,465.4555555555556,39.1
29,Alisson,GK,28,0,0,0,0.0,0.0,30,1,0,0,5,0,1.8111111111111111,6.0
30,Trent Alexander-Arnold,DF,28,3,4,7,2.6,7.2,24,6,0,45,205,97,207.2111111111111,14.2
31,Dominik Szoboszlai,MF,33,3,2,5,3.7,5.8,22,1,0,75,152,160,227.06666666666666,16.599999999999998
